title,author,type,audience,genre,faust_numbers,isbns,n_loans
21 nye helbredende dage med antiinflammatorisk kost,"Louise Bruun (f. 1975),Jerk W. Langer",Bog,"alment niveau,voksenmaterialer",diætmadlavning,46039319;99122522864805763,<NA>,13368
Den mørke engel,Elly Griffiths,Bog,voksenmaterialer,skønlitteratur,62274042;28824130;29391696;50995836;99121915597305763,<NA>,16727
Skyggejægeren,Camilla Grebe,Bog,voksenmaterialer,"krimi,politiromaner",47684315;38810618;99123331831605763,<NA>,13776
"Skønne verden, hvor er du",Sally Rooney (f. 1991),Bog,voksenmaterialer,skønlitteratur,39082098,<NA>,13284
Den tredje søster,Sara Blædel,Bog,voksenmaterialer,spænding,54945116;23215799,<NA>,13281
Brænd alle mine breve,Alex Schulman,Bog,voksenmaterialer,skønlitteratur,62463015;134453044;62854553;99124078477505763;9921118529405762,<NA>,13558
Vitello bygger en afskyelig snemand,Kim Fupz Aakeson,Billedbog,børnematerialer,skønlitteratur,52148898,<NA>,13268
Villads fra Valby køber slik,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,52401569,<NA>,13267
Nøjsomheden,Stine Askov,Bog,voksenmaterialer,skønlitteratur,62186925;134513802,<NA>,13237
En helt normal familie,Mattias Edvardsson (f. 1977),Bog,voksenmaterialer,krimi,46883551;38892665,<NA>,13502
Mormor dansede i regnen,Trude Teige,Bog,voksenmaterialer,"historiske romaner,slægtsromaner",38888129;99123771720705763,<NA>,13217
Normale mennesker,Sally Rooney (f. 1991),Bog,voksenmaterialer,skønlitteratur,46470222;48364349;00769193;99123419306205763;99122548320305763,<NA>,14809
Mimbo Jimbo og de store elefanter,Jakob Martin Strid,Billedbog,børnematerialer,"dyrefortællinger,sjove bøger",29630364;52490413;99121958809805763,<NA>,13215
Flunkerne hos dinosaurerne,"Joaquín Cera,Juan Carlos Ramis",Billedbog,børnematerialer,gå på opdagelse,52304385,<NA>,13165
De heldige,Georgia Hunter,Bog,voksenmaterialer,skønlitteratur,47763177;01115677,<NA>,13163
Huset på Rivieraen,Natasha Lester,Bog,voksenmaterialer,skønlitteratur,62106972;99124017670905763,<NA>,13155
Familien Winther,Katrine Wessel,Bog,voksenmaterialer,slægtsromaner,38430645;99123649354705763;99124354481205763,<NA>,13153
En aften i august,Victoria Hislop,Bog,voksenmaterialer,slægtsromaner,39344467;99123820345005763,<NA>,13109
De forsvundne roser,Martha Hall Kelly,Bog,voksenmaterialer,skønlitteratur,46658671;99123304166505763,<NA>,13074
På sporet af flunkerne for fuld musik,"Joaquín Cera,Juan Carlos Ramis",Billedbog,børnematerialer,gå på opdagelse,54131623,<NA>,13066
Vejen til Warszawa,"Lotte Hammer,Søren Hammer",Bog,voksenmaterialer,spænding,47678706;99123331910005763;99123745831805763,<NA>,13064
Oplyst,Tara Westover (f. 1986),Bog,voksenmaterialer,biografiske romaner,46171993;46469623;39215411;99123799836605763,<NA>,13028
Hvad er et menneske?,Svend Brinkmann,Bog,voksenmaterialer,skønlitteratur,46862589;06079954;99122212497405763;21699888;05841585,<NA>,13016
Enden på historien,Jan Guillou,Bog,voksenmaterialer,slægtsromaner,48489427,<NA>,12973
Find Holger,Martin Handford,Billedbog,børnematerialer,gå på opdagelse,54209983;53515983,<NA>,21243
Den franske villa,Jennifer Bohnet,Bog,voksenmaterialer,slægtsromaner,38924575;99123792333905763,<NA>,12902
På date med en morder,Anna Ekberg,Bog,voksenmaterialer,krimi,48639585;39392666,<NA>,12886
Fruen,Malene Lei Raben,Bog,voksenmaterialer,biografiske romaner,47033748;28574231;48691358;99122377153505763,<NA>,13318
Sort perle,Liza Marklund,Bog,voksenmaterialer,spænding,46221974,<NA>,12840
Naja Münster - den store fuglefest,Line Kyed Knudsen,Bog,børnematerialer,sjove bøger,47059739;99122994020005763,<NA>,12842
Jytte fra Marketing er desværre gået for i dag,Morten Sehested Münster (f. 1980),Bog,"fagligt niveau,voksenmaterialer",personaleledelse,53399169;99122806410305763,<NA>,12808
Hvem har pruttet i Lasse-Leifs bukser?,Mette Finderup,Billedbog,børnematerialer,sjove bøger,28280971,<NA>,12753
Mand uden ansigt,Dennis Jürgensen,Bog,voksenmaterialer,"krimi,politiromaner",38856049;99124251840305763,<NA>,12730
Dødevaskeren,Sara Omar,Bog,voksenmaterialer,skønlitteratur,53753795;53789005;46844211;46840399;53945074,<NA>,19041
Døden på museet,Elly Griffiths,Bog,voksenmaterialer,krimi,46249003;47591767,<NA>,12917
Villads fra Valby skyder året i gang,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,54933274,<NA>,12691
To uger i Toscana,Domenica De Rosa (f. 1963),Bog,voksenmaterialer,skønlitteratur,46568834,<NA>,12690
Villads fra Valby i 0.V,Anne Sofie Hammer (f. 1972-02-05),Bog,børnematerialer,sjove bøger,28204787,<NA>,12689
Gøgeungen,Camilla Läckberg,Bog,voksenmaterialer,krimi,135229962;50782778;99122692301705763;21463809;06483712,<NA>,12758
Bødlernes daggry,Michael Katz Krefeld,Bog,voksenmaterialer,"krimi,politiromaner",135404977,<NA>,12632
Blomsterdalen,Niviaq Korneliussen,Bog,voksenmaterialer,samfundskritik,48595219;61895574;99123460809905763;2584387,<NA>,12573
Fejltrin,Maria Adolfsson,Bog,voksenmaterialer,krimi,47588812;61737561,<NA>,12540
Netspinderen,Lars Kepler,Bog,voksenmaterialer,krimi,134575107,<NA>,12516
Ternet Ninja,Anders Matthesen,Bog,børnematerialer,sjove bøger,52647738;54829574;99122244855405763,<NA>,21370
Flunkerne i Danmark,"Joaquín Cera,Juan Carlos Ramis",Billedbog,børnematerialer,gå på opdagelse,52423783,<NA>,12431
Dragesværdet,Jan Kjær (f. 1971),Billedbog,børnematerialer,fantasy,52286999;29644160;25787153;61412573;50702871;99121930855905763;99121941735305763,<NA>,15087
De bedste familier,Kim Blæsbjerg,Bog,voksenmaterialer,"historiske romaner,samfundsskildringer",135280178;9921362732705762,<NA>,12400
Hvor der er fugle,Maren Uthaug,Bog,voksenmaterialer,slægtsromaner,53130283;62020598;53428118;99122948646205763,<NA>,12601
Snesmil,"Lotte Hammer,Søren Hammer",Bog,voksenmaterialer,"historiske romaner,krimi",39472791,<NA>,12389
Englevagt,Sofie Sarenbrant,Bog,voksenmaterialer,krimi,39617706;25679024;22223666;20261390;99122981879105763,<NA>,12527
Biavlerens løfte,Fiona Valpy,Bog,voksenmaterialer,historiske romaner,38273302,<NA>,12349
Lille Frø bygger rumraket,Jakob Martin Strid,Billedbog,børnematerialer,skønlitteratur,52652383,<NA>,12344
Den sidste enke,Karin Slaughter,Bog,voksenmaterialer,krimi,47109981;61412875,<NA>,12329
Blodmåne,Katrine Engberg,Bog,voksenmaterialer,"krimi,politiromaner",53223281;54173016;134025069;53552498;99122282302405763;99122069550505763,<NA>,15290
Pigen under jorden,Elly Griffiths,Bog,voksenmaterialer,krimi,53817823;46852893;99122029900805763,<NA>,14083
Villads fra Valby lærer klokken,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,46152034;46488288,<NA>,12257
Den japanske elsker,Isabel Allende,Bog,voksenmaterialer,skønlitteratur,39262436;99123799057005763,<NA>,12181
Sange om stilhed og hjem,Anne Lise Marstrand-Jørgensen,Bog,voksenmaterialer,historiske romaner,62932988;136202928;99124247900405763,<NA>,12181
Boghandlen ved Themsens bred,Frida Skybäck (f. 1980),Bog,voksenmaterialer,chick lit,38959573,<NA>,12176
Den inderste kerne,Lotte Kaa Andersen,Bog,voksenmaterialer,"biografiske romaner,historiske romaner,slægtsromaner",38986503;9920952670105762;134412194,<NA>,12163
Villads fra Valby på sommerferie,Anne Sofie Hammer (f. 1972-02-05),Bog,børnematerialer,sjove bøger,51759443,<NA>,12150
Sjælemaleren,Ildefonso Falcones,Bog,voksenmaterialer,historiske romaner,48266266,<NA>,12106
Arabica,Puk Damsgård Andersen,Bog,"alment niveau,voksenmaterialer",yemen,38276255;61690239;99123569377105763,<NA>,12181
Øen,Ragnar Jónasson (f. 1976),Bog,voksenmaterialer,krimi,38983237;51830989;28958110;48713351;54201621;39519011;51177916;20085312;135453544;21176001;04320360;25550161;99122297862705763;99122432048505763;04249011;05454379;135764043;99122795399705763;99122489876705763;99121991075105763;99122150651705763;99122105315605763,<NA>,20843
Blodspor,Julie Hastrup,Bog,voksenmaterialer,"femikrimi,krimi",54825455;50792862;22602705;46519612;47463564;99122416456305763;23160455;99122234552105763;99122163434605763;99122026793405763;99122092523505763;99122424412005763,<NA>,12737
"Ligevægt - stærk, let og mæt",Anne Hjernøe,Bog,"alment niveau,voksenmaterialer",ernæring,48047769;99123547597705763;99123359177505763,<NA>,11992
Villads fra Valby er indbrudstyv,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,52401399,<NA>,11964
Trikozappen,Jan Kjær (f. 1971),Billedbog,børnematerialer,fantasy,52668883;50940055;51202848;99122684104905763,<NA>,14570
Mosen,Liza Marklund,Bog,voksenmaterialer,"krimi,kriminalitet",134495626;48322506;51082303;99122074208105763;99124251842205763,<NA>,12008
Mimbo Jimbo besøger en ven,Jakob Martin Strid,Billedbog,børnematerialer,"dyrefortællinger,sjove bøger",50520730;52212847,<NA>,11944
Birgithe med th,Katrine Marie Guldager,Bog,voksenmaterialer,skønlitteratur,135176877;135665606;9921353034405762,<NA>,11893
Løgnens hus,Elly Griffiths,Bog,voksenmaterialer,krimi,54129653;55096791;99122789279805763,<NA>,12122
Shuggie Bain,Douglas Stuart (f. 1976-05-31),Bog,voksenmaterialer,skønlitteratur,39011212;38635301;47474647;61419047;99123441366805763;99123801251205763;9921005203905762,<NA>,13087
Natsangeren,Johanna Mo (f. 1976),Bog,voksenmaterialer,"krimi,politiromaner",38528858;99123652400405763,<NA>,11843
"Drengen der fik ting i hovedet - ""de mystiske øjne""",Kasper Hoff,Bog,børnematerialer,"sjove bøger,spænding",53660118,<NA>,11838
Til min søster,Dy Plambeck,Bog,voksenmaterialer,skønlitteratur,46553772;47557194,<NA>,11846
Den anden dødssynd,Jan Guillou,Bog,voksenmaterialer,"samfundsskildringer,slægtsromaner",47109736;48653863,<NA>,11838
Alt det jeg aldrig fortalte dig,Celeste Ng (f. 1980),Bog,voksenmaterialer,udviklingsromaner,48321976;39076179,<NA>,11923
Store Kongensgade 23,Søren Ulrik Thomsen (f. 1956),Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,barndomserindringer,erindringer",39471736,<NA>,11790
Pigen fra Napoli,Lucinda Riley,Bog,voksenmaterialer,skønlitteratur,51939239;52384931,<NA>,12478
Blodmånen,Jo Nesbø,Bog,voksenmaterialer,"krimi,politiromaner",134877804;135999709,<NA>,11773
Nomernes vilde væddeløb,Jan Kjær (f. 1971),Billedbog,børnematerialer,fantasy,52668859;50746658;99122536937705763,<NA>,13256
Derfor forelsker du dig aldrig i den forkerte,Jytte Vikkelsøe,Bog,"alment niveau,voksenmaterialer",kriseterapi. samlivsterapi,53322379;99122295115405763,<NA>,11748
Dødfunden,Gretelise Holm (f. 1946),Bog,voksenmaterialer,spænding,46992334;48644945,<NA>,12082
Den sidste kamelia,Sarah Jio,Bog,voksenmaterialer,historiske romaner,39163047,<NA>,11712
Folk og røvere i Kardemomme by,Thorbjørn Egner,Bog,børnematerialer,sjove bøger,05575907;01152475;03780635;00231673;05606314;22934562;99122079016605763;99121995789805763;99122053661705763,<NA>,11921
Et særligt sted,Marcia Willett,Bog,voksenmaterialer,skønlitteratur,48588727;39053543,<NA>,11885
Wimpy Kid. Bind 2,Jeff Kinney,Bog,børnematerialer,"dagbøger,humor",29570442,<NA>,11637
Mørkeland,Niels Krause-Kjær,Bog,voksenmaterialer,spænding,46536827,<NA>,11599
Villads fra Valby får nye ideer,Anne Sofie Hammer (f. 1972-02-05),Bog,børnematerialer,sjove bøger,46621794,<NA>,11549
De fire vinde,Kristin Hannah,Bog,voksenmaterialer,skønlitteratur,62005831;26509017;29289379,<NA>,11762
Familiens synder,Cara Hunter,Bog,voksenmaterialer,"domestic noir,krimi",47683866;38926519;99123305651705763,<NA>,11601
Mimbo Jimbo laver kunst,Jakob Martin Strid,Billedbog,børnematerialer,"dyrefortællinger,sjove bøger",28939876,<NA>,11513
Den der dræbte helvedes engle,Jan Guillou,Bog,voksenmaterialer,skønlitteratur,62485124,<NA>,11510
For barnets bedste,"Line Holm,Stine Bolther",Bog,voksenmaterialer,"krimi,politiromaner",48671586;61744401;99123863442205763;99123474539505763,<NA>,11571
Blomstrende syrener,Martha Hall Kelly,Bog,voksenmaterialer,skønlitteratur,54167830;46438728;54430981;99122811322205763;99121916471605763,<NA>,11610
I ly for regnen,Jojo Moyes,Bog,voksenmaterialer,slægtsromaner,53530885;54199090,<NA>,11592
Fandens forår,Niels Krause-Kjær,Bog,voksenmaterialer,spænding,48925758;39246791,<NA>,11532
Kult,"Camilla Läckberg,Henrik Fexeus",Bog,voksenmaterialer,krimi,62825553;62132493;38608568;99123649061005763,<NA>,11625
Alle lyver,Camilla Grebe,Bog,voksenmaterialer,krimi,38915894,<NA>,11487
Min mor var besat,Peter Øvig Knudsen,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,barndomserindringer,erindringer",46506294;2526603,<NA>,11471
Huset i Buckley Street,Marcia Willett,Bog,voksenmaterialer,skønlitteratur,46608755;48119344,<NA>,11821
Den sidste boghandel i London,Madeline Martin,Bog,voksenmaterialer,historiske romaner,39091941;134300825,<NA>,11447
Kvinden der samlede verden,Eva Tind,Bog,voksenmaterialer,"biografiske romaner,historiske romaner",38898205;99123778410205763,<NA>,11441
Huset på klippen,Elly Griffiths,Bog,voksenmaterialer,krimi,54791143;46578724;99122838561805763;99122849609105763;06592163;99122445190905763,<NA>,11790
Løgn i din hals,Lars Kjædegaard,Bog,voksenmaterialer,krimi,38620991,<NA>,11346
Lasse-Leif og mormors nej-hat,Mette Finderup,Billedbog,børnematerialer,sjove bøger,51214676,<NA>,11328
Den kinesiske tvilling,Sarah Engell,Bog,voksenmaterialer,spænding,38573977,<NA>,11317
Mit menneske,Herbjørg Wassmo,Bog,voksenmaterialer,skønlitteratur,62485019;99124062330005763,<NA>,11313
21 helbredende dage med antiinflammatorisk kost,"Louise Bruun (f. 1975),Jerk W. Langer",Bog,"alment niveau,voksenmaterialer",diætmadlavning,52574269,<NA>,11300
Mimbo Jimbo,Jakob Martin Strid,Billedbog,børnematerialer,"dyrefortællinger,sjove bøger",28424671;28424639;45034186;45392945;45389219,<NA>,11597
Sommer i Paris,Sarah Morgan (f. 1948),Bog,voksenmaterialer,chick lit,48148085;39076063;28609582,<NA>,11436
Som pesten,Hanne-Vibeke Holst,Bog,voksenmaterialer,skønlitteratur,53430260;54802129;99122767361705763;99122944854905763,<NA>,11792
Superhelte-flunkerne,"Joaquín Cera,Juan Carlos Ramis",Billedbog,børnematerialer,gå på opdagelse,52799171,<NA>,11211
Ustyrligt blod,Robert Galbraith,Bog,voksenmaterialer,krimi,48839789;99123805040805763,<NA>,11202
Løbeklubben i Saudi,Lotte Garbers,Bog,voksenmaterialer,samfundsskildringer,48628761;39577526;61745939;99123474430105763,<NA>,11293
Vanæret,Linda Castillo,Bog,voksenmaterialer,"krimi,politiromaner",47875668,<NA>,11193
Flunkerne i middelalderen,"Joaquín Cera,Juan Carlos Ramis",Billedbog,børnematerialer,gå på opdagelse,53071066,<NA>,11129
Nomernes hemmelige beskytter,Jan Kjær (f. 1971),Billedbog,børnematerialer,fantasy,52286980;29809496,<NA>,15490
Vitello,Kim Fupz Aakeson,Bog,børnematerialer,sjove bøger,52957176;55110832;99122991492105763,<NA>,16027
Jeg tog ned til bror,Karin Smirnoff (f. 1964),Bog,voksenmaterialer,skønlitteratur,48152392;48432859;61993118;38911244;38721593;99123359187205763;99123440302405763,<NA>,18572
Villads fra Valby bygger en robot,Anne Sofie Hammer (f. 1972-02-05),Billedbog,børnematerialer,sjove bøger,48779743,<NA>,11034
Karius og Baktus,Thorbjørn Egner,Bog,børnematerialer,skønlitteratur,05092973;23500272;27826296;00244015;07053398;10021723;99122070030605763;99122929953705763;99121995934705763;99122095685505763,<NA>,11327
Teenageren fra Thy,Maria Helleberg,Bog,voksenmaterialer,slægtsromaner,62969288;135821861,<NA>,11082
Friheden,Arne Dahl (f. 1963),Bog,voksenmaterialer,krimi,47822319,<NA>,10994
Næste!,Nina Lykke (f. 1965),Bog,voksenmaterialer,skønlitteratur,48254829;38840886,<NA>,11178
Turen går til Hamburg & Nordtyskland,Jytte Flamsholt Christensen,Bog,"alment niveau,voksenmaterialer",tyskland,46913116;51759745;29314748;27624367,<NA>,15404
Vi tog op med mor,Karin Smirnoff (f. 1964),Bog,voksenmaterialer,skønlitteratur,38485032;99123652384605763,<NA>,10968
Kane og Abel,Jeffrey Archer,Bog,voksenmaterialer,slægtsromaner,48136028,<NA>,10964
Men der kommer en time,Jeffrey Archer,Bog,voksenmaterialer,slægtsromaner,46101987;99122205791605763,<NA>,10961
Vitello ønsker sig en hund,,Billedbog,børnematerialer,skønlitteratur,27404596;28873166;27698115;99122128908305763,<NA>,11042
Lasse-Leif og den virkelig væmmelige makrelmad,Mette Finderup,Billedbog,børnematerialer,sjove bøger,50699854,<NA>,10911
En uventet forelskelse,Julia Quinn (f. 1970),Bog,voksenmaterialer,historiske romaner,48369456,<NA>,10892
Vi kunne alt,Merete Pryds Helle,Bog,voksenmaterialer,skønlitteratur,54542992;54977298;99122056619005763;99122725768705763,<NA>,10900
Mimbo Jimbo har det sjovt,Jakob Martin Strid,Billedbog,børnematerialer,"dyrefortællinger,sjove bøger",28533276,<NA>,10837
Klinten,Jens Smærup Sørensen,Bog,voksenmaterialer,kollektivromaner,48769527;38763709;39194112;99123520494305763,<NA>,10936
En anden gren,Jesper Wung-Sung,Bog,voksenmaterialer,biografiske romaner,53369685;53541089;47651123;53653448;53730795;99122355921505763,<NA>,11883
Liget i lyngen,Lars Kjædegaard,Bog,voksenmaterialer,krimi,47932831,<NA>,10803
Lasse-Leif har verdens klammeste far,Mette Finderup,Billedbog,børnematerialer,sjove bøger,50699935,<NA>,10782
Villads fra Valby laver en film,Anne Sofie Hammer (f. 1972-02-05),Bog,børnematerialer,sjove bøger,51134338,<NA>,10781
Kobberslottet,"Lotte Hammer,Søren Hammer",Bog,voksenmaterialer,spænding,47678676;99123331907305763,<NA>,10780
Lasse-Leif er alene hjemme,Mette Finderup,Billedbog,børnematerialer,sjove bøger,28659512,<NA>,10775
Fædrenes synder,Åsa Larsson,Bog,voksenmaterialer,skønlitteratur,62246847;29596484;24589196;99122060828605763;99121997100905763;99122029394505763,<NA>,10877
Kræmmerfund og kærlighed,Ewa Klingberg,Bog,voksenmaterialer,skønlitteratur,48302165,<NA>,10772
Den franske gartner,Santa Montefiore,Bog,voksenmaterialer,landliv,46408659,<NA>,10768
Hvor der er vilje,Jeffrey Archer,Bog,voksenmaterialer,slægtsromaner,52639158;53036260,<NA>,11884
Den lille cafe ved den endeløse strand,Jenny Colgan (f. 1972),Bog,voksenmaterialer,skønlitteratur,48232795,<NA>,10755
Vitello ridser en bil,,Billedbog,børnematerialer,skønlitteratur,27262546;53100813;99122128916705763,<NA>,10789
Wimpy Kid. Bind 3,Jeff Kinney,Bog,børnematerialer,"dagbøger,humor",50618382,<NA>,10743
"Tvilling, yndling, grævling",Hella Joof,Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",38228498,<NA>,10729
Eddie lærer alfabetet,Thomas Brunstrøm,Billedbog,børnematerialer,sjove bøger,61499849;99123996951705763,<NA>,10729
Krokodillevogteren,Katrine Engberg,Bog,voksenmaterialer,"krimi,politiromaner",52195187;53215238;54948220;46827562;99122030043405763,<NA>,17042
Spionchefen,Lars Findsen (f. 1964-09-17),Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,erindringer",134784083;9921326033805762;99124201354605763,<NA>,10726
Nora,Merete Pryds Helle,Bog,voksenmaterialer,samfundsskildringer,46957083;47307791;46944534;24363201;21073679;47667003;21566330;05892481;08575266;21500704;99122993789305763;99122305365105763;99122377057005763,<NA>,13530
"De, der er elsket",Victoria Hislop,Bog,voksenmaterialer,historiske romaner,48553133,<NA>,10712
